"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 04:51:43 UTC 2023","Sat Jun 24 04:51:48 UTC 2023","4755","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Jun 24 04:17:51 UTC 2023","Sat Jun 24 04:18:09 UTC 2023","18723","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"failed","Sat Jun 24 04:30:03 UTC 2023","Sat Jun 24 04:33:53 UTC 2023","230355","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Jun 24 04:53:37 UTC 2023","Sat Jun 24 04:53:39 UTC 2023","2531","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Jun 24 05:02:44 UTC 2023","Sat Jun 24 05:03:04 UTC 2023","20013","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Jun 24 04:18:35 UTC 2023","Sat Jun 24 04:18:42 UTC 2023","6780","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Jun 24 04:10:43 UTC 2023","Sat Jun 24 04:10:47 UTC 2023","3934","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sat Jun 24 04:11:04 UTC 2023","Sat Jun 24 04:11:15 UTC 2023","11041","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Jun 24 04:53:39 UTC 2023","Sat Jun 24 04:53:44 UTC 2023","5232","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sat Jun 24 04:51:48 UTC 2023","Sat Jun 24 04:51:49 UTC 2023","711","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Jun 24 04:50:15 UTC 2023","Sat Jun 24 04:50:33 UTC 2023","18051","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Jun 24 04:18:17 UTC 2023","Sat Jun 24 04:18:20 UTC 2023","3218","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Jun 24 05:02:19 UTC 2023","Sat Jun 24 05:02:31 UTC 2023","11181","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sat Jun 24 04:53:06 UTC 2023","Sat Jun 24 04:53:10 UTC 2023","3908","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Jun 24 04:16:19 UTC 2023","Sat Jun 24 04:16:21 UTC 2023","1429","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sat Jun 24 04:10:12 UTC 2023","Sat Jun 24 04:10:27 UTC 2023","14366","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sat Jun 24 04:50:44 UTC 2023","Sat Jun 24 04:51:05 UTC 2023","21146","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Jun 24 04:11:34 UTC 2023","Sat Jun 24 04:11:36 UTC 2023","2051","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Jun 24 04:52:45 UTC 2023","Sat Jun 24 04:52:49 UTC 2023","4133","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Jun 24 04:50:35 UTC 2023","Sat Jun 24 04:50:46 UTC 2023","10393","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Jun 24 05:00:16 UTC 2023","Sat Jun 24 05:00:23 UTC 2023","7359","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Jun 24 04:10:40 UTC 2023","Sat Jun 24 04:10:43 UTC 2023","2799","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat Jun 24 04:10:21 UTC 2023","Sat Jun 24 04:10:44 UTC 2023","22743","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Jun 24 04:50:42 UTC 2023","Sat Jun 24 04:50:45 UTC 2023","2418","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Jun 24 05:00:23 UTC 2023","Sat Jun 24 05:00:25 UTC 2023","1691","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Jun 24 04:50:40 UTC 2023","Sat Jun 24 04:50:44 UTC 2023","3466","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Jun 24 05:02:44 UTC 2023","Sat Jun 24 05:02:44 UTC 2023","358","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sat Jun 24 04:21:54 UTC 2023","Sat Jun 24 04:21:58 UTC 2023","3441","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Jun 24 04:10:30 UTC 2023","Sat Jun 24 04:10:34 UTC 2023","3526","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Jun 24 04:10:23 UTC 2023","Sat Jun 24 04:10:44 UTC 2023","21149","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Jun 24 04:10:44 UTC 2023","Sat Jun 24 04:10:44 UTC 2023","45","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sat Jun 24 04:15:13 UTC 2023","Sat Jun 24 04:15:37 UTC 2023","23453","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Jun 24 04:15:49 UTC 2023","Sat Jun 24 04:16:17 UTC 2023","27783","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Jun 24 04:10:34 UTC 2023","Sat Jun 24 04:10:37 UTC 2023","2972","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat Jun 24 04:51:24 UTC 2023","Sat Jun 24 04:51:26 UTC 2023","2009","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Jun 24 04:55:10 UTC 2023","Sat Jun 24 04:55:15 UTC 2023","4467","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Jun 24 04:53:45 UTC 2023","Sat Jun 24 04:53:49 UTC 2023","4271","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Jun 24 04:10:37 UTC 2023","Sat Jun 24 04:10:40 UTC 2023","3506","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat Jun 24 04:16:17 UTC 2023","Sat Jun 24 04:16:19 UTC 2023","2584","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sat Jun 24 04:50:31 UTC 2023","Sat Jun 24 04:50:40 UTC 2023","8956","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sat Jun 24 04:11:33 UTC 2023","Sat Jun 24 04:11:56 UTC 2023","23113","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Jun 24 04:10:25 UTC 2023","Sat Jun 24 04:10:45 UTC 2023","19621","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Sat Jun 24 04:10:52 UTC 2023","Sat Jun 24 04:10:52 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Jun 24 04:54:35 UTC 2023","Sat Jun 24 04:54:57 UTC 2023","21783","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Jun 24 04:20:22 UTC 2023","Sat Jun 24 04:20:22 UTC 2023","233","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Jun 24 04:20:19 UTC 2023","Sat Jun 24 04:20:22 UTC 2023","3342","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sat Jun 24 04:55:08 UTC 2023","Sat Jun 24 04:55:10 UTC 2023","2575","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Jun 24 04:18:42 UTC 2023","Sat Jun 24 04:18:54 UTC 2023","11743","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sat Jun 24 05:02:41 UTC 2023","Sat Jun 24 05:02:43 UTC 2023","2309","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Jun 24 04:11:01 UTC 2023","Sat Jun 24 04:11:04 UTC 2023","3092","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Jun 24 04:59:56 UTC 2023","Sat Jun 24 05:00:15 UTC 2023","18278","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Jun 24 04:50:46 UTC 2023","Sat Jun 24 04:50:49 UTC 2023","3289","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Jun 24 04:11:26 UTC 2023","Sat Jun 24 04:11:33 UTC 2023","6732","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sat Jun 24 04:14:17 UTC 2023","Sat Jun 24 04:14:24 UTC 2023","6667","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Jun 24 04:53:49 UTC 2023","Sat Jun 24 04:54:50 UTC 2023","60881","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sat Jun 24 04:21:39 UTC 2023","Sat Jun 24 04:21:54 UTC 2023","14456","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Jun 24 04:11:54 UTC 2023","Sat Jun 24 04:11:57 UTC 2023","3502","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Jun 24 04:51:05 UTC 2023","Sat Jun 24 04:51:12 UTC 2023","6978","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Jun 24 04:22:22 UTC 2023","Sat Jun 24 04:22:24 UTC 2023","1797","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Jun 24 04:21:58 UTC 2023","Sat Jun 24 04:21:59 UTC 2023","1132","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Jun 24 04:50:49 UTC 2023","Sat Jun 24 04:51:04 UTC 2023","14627","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sat Jun 24 04:14:24 UTC 2023","Sat Jun 24 04:15:12 UTC 2023","47760","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Jun 24 04:52:32 UTC 2023","Sat Jun 24 04:52:37 UTC 2023","4520","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Jun 24 04:16:21 UTC 2023","Sat Jun 24 04:16:32 UTC 2023","11427","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Jun 24 04:54:50 UTC 2023","Sat Jun 24 04:54:52 UTC 2023","2467","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Jun 24 05:02:22 UTC 2023","Sat Jun 24 05:02:41 UTC 2023","19018","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Jun 24 04:12:05 UTC 2023","Sat Jun 24 04:12:32 UTC 2023","26870","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sat Jun 24 04:20:22 UTC 2023","Sat Jun 24 04:20:34 UTC 2023","11799","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Jun 24 04:13:49 UTC 2023","Sat Jun 24 04:14:17 UTC 2023","28398","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Jun 24 04:29:51 UTC 2023","Sat Jun 24 04:30:03 UTC 2023","12131","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Jun 24 04:10:47 UTC 2023","Sat Jun 24 04:11:10 UTC 2023","22819","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Jun 24 04:11:10 UTC 2023","Sat Jun 24 04:11:21 UTC 2023","10556","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Jun 24 04:51:04 UTC 2023","Sat Jun 24 04:51:09 UTC 2023","5136","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Jun 24 04:11:15 UTC 2023","Sat Jun 24 04:11:20 UTC 2023","5618","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Jun 24 05:02:31 UTC 2023","Sat Jun 24 05:02:57 UTC 2023","26868","","21. Forgot password function","","","","2. Reset password",""
"passed","Sat Jun 24 04:50:11 UTC 2023","Sat Jun 24 04:50:31 UTC 2023","20381","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Jun 24 04:11:56 UTC 2023","Sat Jun 24 04:12:05 UTC 2023","8454","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Jun 24 04:11:02 UTC 2023","Sat Jun 24 04:11:26 UTC 2023","24814","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sat Jun 24 04:10:52 UTC 2023","Sat Jun 24 04:11:02 UTC 2023","9708","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sat Jun 24 04:11:36 UTC 2023","Sat Jun 24 04:11:54 UTC 2023","17300","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Jun 24 04:16:32 UTC 2023","Sat Jun 24 04:16:33 UTC 2023","846","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Jun 24 04:57:17 UTC 2023","Sat Jun 24 04:57:57 UTC 2023","40046","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Jun 24 04:52:37 UTC 2023","Sat Jun 24 04:53:37 UTC 2023","59944","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Jun 24 04:18:20 UTC 2023","Sat Jun 24 04:18:35 UTC 2023","15239","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Jun 24 04:15:37 UTC 2023","Sat Jun 24 04:15:49 UTC 2023","11341","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Jun 24 04:21:59 UTC 2023","Sat Jun 24 04:22:22 UTC 2023","23547","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sat Jun 24 04:50:45 UTC 2023","Sat Jun 24 04:51:05 UTC 2023","19977","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Jun 24 04:11:57 UTC 2023","Sat Jun 24 04:11:58 UTC 2023","459","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Jun 24 04:50:33 UTC 2023","Sat Jun 24 04:50:42 UTC 2023","8970","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sat Jun 24 04:20:34 UTC 2023","Sat Jun 24 04:20:35 UTC 2023","674","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Jun 24 04:22:24 UTC 2023","Sat Jun 24 04:23:03 UTC 2023","38816","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sat Jun 24 04:10:44 UTC 2023","Sat Jun 24 04:11:00 UTC 2023","16280","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Jun 24 04:11:21 UTC 2023","Sat Jun 24 04:11:23 UTC 2023","1836","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Jun 24 04:52:49 UTC 2023","Sat Jun 24 04:53:06 UTC 2023","16471","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sat Jun 24 04:18:10 UTC 2023","Sat Jun 24 04:18:17 UTC 2023","7221","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Jun 24 04:54:57 UTC 2023","Sat Jun 24 04:55:07 UTC 2023","10232","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Jun 24 04:10:44 UTC 2023","Sat Jun 24 04:10:52 UTC 2023","7608","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Jun 24 04:53:10 UTC 2023","Sat Jun 24 04:53:10 UTC 2023","518","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Jun 24 04:51:26 UTC 2023","Sat Jun 24 04:51:43 UTC 2023","16744","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Jun 24 04:51:05 UTC 2023","Sat Jun 24 04:51:13 UTC 2023","7971","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Jun 24 04:50:14 UTC 2023","Sat Jun 24 04:50:35 UTC 2023","20762","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Jun 24 04:10:23 UTC 2023","Sat Jun 24 04:11:08 UTC 2023","45518","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sat Jun 24 05:00:15 UTC 2023","Sat Jun 24 05:00:16 UTC 2023","1299","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sat Jun 24 04:13:01 UTC 2023","Sat Jun 24 04:13:04 UTC 2023","3457","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sat Jun 24 04:10:27 UTC 2023","Sat Jun 24 04:10:30 UTC 2023","3494","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Jun 24 04:15:37 UTC 2023","Sat Jun 24 04:15:37 UTC 2023","381","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
